ID			BLOCK_NUMBER			LOT_NUMBER			PRICE			SIZE			STATUS
61125133524			5D			2			4324.00			54242.00			SOLD
61125134157			20D			3			809482.00			909.00			AVAILABLE
61125135289			10A			1			10423.00			12500.00			SOLD
61125136742			15B			5			32543.00			40230.00			AVAILABLE
61125137865			8C			4			20900.00			30000.00			SOLD
61125138976			12D			2			15000.00			18000.00			AVAILABLE
61125139487			25A			3			98765.00			112000.00			SOLD
61125140213			18B			1			5423.00			6320.00			AVAILABLE
61125141356			22C			5			67890.00			78900.00			SOLD
61125142587			30D			2			21000.00			25000.00			AVAILABLE
61125143892			17A			3			92000.00			105000.00			SOLD
61125144125			14B			4			43500.00			51000.00			AVAILABLE
61125145267			11C			5			32900.00			40000.00			SOLD
61125146382			21D			2			54230.00			65000.00			AVAILABLE
61125147459			19A			3			76500.00			85000.00			SOLD
61125148576			16B			1			48700.00			56000.00			AVAILABLE
61125149693			13C			4			87650.00			95000.00			SOLD
61125150214			9D			2			14320.00			16500.00			AVAILABLE
61125151342			7A			3			23400.00			28000.00			SOLD
61125152478			6B			5			94000.00			105000.00			AVAILABLE
61125153589			4C			1			51000.00			58000.00			SOLD
61125154702			3D			2			89200.00			96000.00			AVAILABLE
61125155819			2A			3			75900.00			83000.00			SOLD
61125156932			1B			4			42900.00			50000.00			AVAILABLE
61125157893			23C			5			67890.00			78000.00			SOLD
61125158214			27D			2			54300.00			60000.00			AVAILABLE
61125159385			29A			3			12900.00			15000.00			SOLD
61125160498			31B			4			54000.00			61000.00			AVAILABLE
61125161639			33C			5			87000.00			94000.00			SOLD
61125162752			35D			2			32000.00			40000.00			AVAILABLE
61125163867			37A			3			89000.00			97000.00			SOLD
61125164982			39B			4			43000.00			52000.00			AVAILABLE
61125165023			41C			1			65900.00			71000.00			SOLD
61125166145			43D			2			78000.00			86000.00			AVAILABLE
61125167258			45A			3			92000.00			101000.00			SOLD
61125168374			47B			5			34400.00			40000.00			AVAILABLE
61125169485			49C			4			55500.00			61000.00			SOLD
61125170598			51D			2			43450.00			50000.00			AVAILABLE
61125171639			53A			3			87000.00			95000.00			SOLD
61125172752			55B			4			34000.00			41000.00			AVAILABLE
61125173867			57C			5			96000.00			105000.00			SOLD
61125174982			59D			2			12800.00			14500.00			AVAILABLE
61125175023			61A			3			77000.00			85000.00			SOLD
61125176145			63B			4			65000.00			71000.00			AVAILABLE
61125177258			65C			1			92000.00			100000.00			SOLD
61125178374			67D			2			47000.00			53000.00			AVAILABLE
61125179485			69A			3			88000.00			96000.00			SOLD
61125180598			71B			4			34500.00			41000.00			AVAILABLE
61125181639			73C			5			55000.00			62000.00			SOLD
61125182752			75D			2			43000.00			50000.00			AVAILABLE
