realestateID,blockNo,lotNo,lotType,price,size,house,status
11,1,1,interior,5000000,250,1,available
12,1,2,corner,6000000,300,2,available
13,1,3,interior,4800000,400,3,reserved
14,1,4,corner,6500000,120,4,sold
15,1,5,corner,50000000,500,5,available
16,1,6,interior,7000000,200,1,available
17,1,7,interior,8000000,350,2,reserved
18,1,8,corner,9000000,450,3,sold
19,1,9,interior,10000000,220,4,available
110,1,10,corner,11000000,180,5,available
21,2,1,interior,5200000,300,1,available
22,2,2,corner,6200000,250,2,available
25,2,5,corner,12000000,500,5,available
26,2,6,interior,13000000,120,1,available
27,2,7,interior,14000000,400,2,reserved
28,2,8,corner,15000000,220,3,sold
29,2,9,interior,16000000,180,4,available
210,2,10,corner,17000000,350,5,available
31,3,1,interior,5400000,120,1,available
32,3,2,corner,7000000,200,2,available
34,3,4,corner,19000000,250,4,sold
35,3,5,corner,20000000,350,5,available
36,3,6,interior,21000000,400,1,available
37,3,7,interior,22000000,220,2,reserved
38,3,8,corner,23000000,180,3,sold
39,3,9,interior,24000000,500,4,available
310,3,10,corner,25000000,300,5,available
41,4,1,interior,5500000,120,1,available
42,4,2,corner,26000000,400,2,available
43,4,3,interior,27000000,200,3,reserved
44,4,4,corner,28000000,180,4,sold
45,4,5,corner,29000000,220,5,available
46,4,6,interior,30000000,250,1,available
47,4,7,interior,31000000,300,2,reserved
48,4,8,corner,32000000,500,3,sold
49,4,9,interior,33000000,450,4,available
410,4,10,corner,34000000,350,5,available
51,5,1,interior,5600000,180,1,available
52,5,2,corner,35000000,200,2,available
53,5,3,interior,36000000,400,3,reserved
54,5,4,corner,37000000,120,4,sold
55,5,5,corner,38000000,220,5,available
56,5,6,interior,39000000,350,1,available
57,5,7,interior,40000000,250,2,reserved
58,5,8,corner,41000000,300,3,sold
59,5,9,interior,42000000,180,4,available
510,5,10,corner,43000000,450,5,available
61,6,1,interior,5700000,200,1,available
62,6,2,corner,44000000,120,2,available
63,6,3,interior,45000000,500,3,reserved
64,6,4,corner,46000000,250,4,sold
65,6,5,corner,47000000,220,5,available
66,6,6,interior,48000000,400,1,available
67,6,7,interior,49000000,350,2,reserved
68,6,8,corner,50000000,300,3,sold
69,6,9,interior,5100000,180,4,available
610,6,10,corner,5200000,450,5,available
71,7,1,interior,5300000,200,1,available
72,7,2,corner,5300000,120,2,available
73,7,3,interior,5500000,400,3,reserved
74,7,4,corner,5600000,250,4,sold
75,7,5,corner,5700000,220,5,available
76,7,6,interior,5800000,350,1,available
77,7,7,interior,5900000,450,2,reserved
78,7,8,corner,6000000,300,3,sold
79,7,9,interior,6100000,180,4,available
710,7,10,corner,6200000,500,5,available
81,8,1,interior,6300000,120,1,available
82,8,2,corner,6400000,220,2,available
83,8,3,interior,6500000,350,3,reserved
84,8,4,corner,6600000,450,4,sold
85,8,5,corner,6700000,250,5,available
86,8,6,interior,6800000,300,1,available
87,8,7,interior,6900000,500,2,reserved
88,8,8,corner,7000000,400,3,sold
89,8,9,interior,7100000,200,4,available
810,8,10,corner,7200000,180,5,available
91,9,1,interior,6300000,120,1,available
92,9,2,corner,6400000,220,2,available
93,9,3,interior,6500000,350,3,reserved
94,9,4,corner,6600000,450,4,sold
95,9,5,corner,6700000,250,5,available
96,9,6,interior,6800000,300,1,available
97,9,7,interior,6900000,500,2,reserved
98,9,8,corner,7000000,400,3,sold
99,9,9,interior,7100000,200,4,available
910,9,10,corner,7200000,180,5,available
23,2,3,interior,5000000,450,3,sold
24,2,4,corner,6700000,200,4,sold
33,3,3,interior,18000000,450,3,sold
